OBJECTID,uuid,event_id,event_name,start_date,end_date,locality,season,geometry_source,year,long,lat,location,OBJECTID,TARGET_FID,DATASETNAM,COMPLEVEL,WSCMDA,WSCSDA,WSCSSDA,FDA,WSCMDANAME,WSCSDANAME,WSCSSDANAM
1,120125e2-f931-42ef-a194-b36b1b192fdd,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Auclair,spring,MSPQ,2017,-69,47.7222973,-68.61371709999997 47.72229730000004,1,1,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
130,a89fd542-8a91-462c-bef4-aebb667d54a5,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Rivière-Bleue,spring,MSPQ,2008,-69,47.4370718,-69.04259749999994 47.43707180000007,130,130,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
132,88dae87f-c2f1-41cb-a662-86d9fb38c589,34b8bf87-c039-46fb-ae9c-90a5c30d41cc,,4/25/2005,n/a - nd,Rivière-Bleue,spring,MSPQ,2005,-69,47.4502902,-69.01617109999995 47.45029020000004,132,132,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
133,1f8ddb78-01de-4f88-8284-7fea6eb2a8ce,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Eusèbe,spring,MSPQ,2008,-69,47.5363527,-68.98156569999998 47.536352700000066,133,133,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
134,09486c99-d0b3-4b74-b4f1-3009139d8cc5,fa252146-0ea4-4d27-86e6-0d93be3fe38f,,5/2/2005,n/a - nd,Rivière-Bleue,spring,MSPQ,2005,-69,47.4342382,-69.04953589999997 47.43423820000004,134,134,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
135,01569c68-6163-491b-b1f0-6f741a789c6d,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Elzéar-de-Témiscouata,spring,MSPQ,2008,-69,47.5864725,-69.04304889999997 47.58647250000007,135,135,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
136,58881b45-36af-4f20-a853-4d1e37b76652,023493ce-1382-4da3-adf8-aca6a9a5a867,,4/1/2014,n/a - nd,Saint-Louis-du-Ha! Ha!,spring,MSPQ,2014,-69,47.6631408,-69.02022189999997 47.663140800000065,136,136,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
137,b44397a0-aba9-4d37-a215-635a65c487bc,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Marc-du-Lac-Long,spring,MSPQ,2008,-69,47.3845419,-68.90126299999997 47.384541900000045,137,137,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
138,931566e8-efca-4ab1-83ad-08ebe7357fbb,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Marc-du-Lac-Long,spring,MSPQ,2008,-69,47.3894452,-68.89332679999995 47.38944520000007,138,138,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
140,a55c6301-f350-4b21-af16-fcf0418e04bf,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Packington,spring,MSPQ,2008,-69,47.4723694,-68.86425259999999 47.47236940000005,140,140,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
141,d7bc7dfb-b7f1-47f5-9d72-6f95771dbd95,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Juste-du-Lac,spring,MSPQ,2008,-69,47.6725549,-68.75206969999994 47.67255490000008,141,141,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
142,f6d65973-62fe-44a0-85ba-a56bfd141dca,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Jean-de-la-Lande,spring,MSPQ,2008,-69,47.425333,-68.69729049999995 47.42533300000008,142,142,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
151,7807345a-d2e5-4be0-9c1a-17735fdcb0b9,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Dégelis,spring,MSPQ,2011,-69,47.551258,-68.63260889999998 47.551258000000075,151,151,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
